Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,59.77,59.12,57.07,56.59,62.63,62.86,63.3,64.87,64.38,62.7,62.57
Gross Margin,40.23,40.88,42.93,43.41,37.37,37.14,36.7,35.13,35.62,37.3,37.43
SG&A,32.21,34.18,31.21,27.83,23.43,23.12,22.46,23.6,24.37,26.06,26.54
R&D,,,,,,,,,,,
Other,-4.26,,,-3.56,-1.93,-0.57,-1.26,-1.03,-0.97,-0.85,-0.82
Operating Margin,12.28,9.83,15.68,19.14,15.88,14.59,15.5,12.56,12.21,12.09,11.71
Net Int Inc & Other,0.75,0.31,0.36,0.67,0.52,0.42,0.39,0.28,0.06,0.13,0.18
EBT Margin,13.02,10.13,16.04,19.81,16.39,15.01,15.9,12.84,12.27,12.22,11.88
