Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,200.0,,,13.25,51.6,15.79,2.12,41.84,-18.83,28.35,476.19
3-Year Average,51.6,,109.71,51.56,,25.74,21.48,18.81,5.55,13.9,
5-Year Average,,,60.68,59.87,73.75,43.62,,23.56,15.59,11.81,
10-Year Average,,,,,,,55.8,40.9,35.94,39.38,
