Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,75.69,37.88,39.34,10.33,2.36,19.12,8.01,-51.97,-341.78
3-Year Average,,-0.38,17.3,,50.0,28.46,16.32,10.39,9.61,-14.83,
5-Year Average,,-5.55,0.98,16.33,24.31,,30.69,20.91,15.15,-6.94,
10-Year Average,,10.96,9.48,11.53,44.21,10.07,9.83,9.8,15.77,8.65,
