Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,
Gross Margin %,69.7,50.5,60.8,56.5,73.7,81.0,39.4,45.3,-99.0,,
Operating Income AUD Mil,-2.0,-6.0,-6.0,-9.0,-31.0,-36.0,-18.0,-12.0,-7.0,-3.0,-3.0
Operating Margin %,-653.0,-971.5,-664.0,-996.1,,,,,,,
Net Income AUD Mil,11.0,3.0,-3.0,25.0,-22.0,-22.0,-15.0,-8.0,-6.0,-3.0,-3.0
Earnings Per Share AUD,0.06,0.02,-0.02,0.14,-0.11,-0.13,-0.08,-0.04,-0.03,-0.01,-0.01
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,175.0,169.0,180.0,174.0,199.0,169.0,191.0,198.0,184.0,243.0,243.0
Book Value Per Share * AUD,0.21,0.19,0.22,0.37,0.31,0.25,0.14,0.07,0.01,0.01,
Operating Cash Flow AUD Mil,-2.0,-1.0,-5.0,-3.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0
Cap Spending AUD Mil,-5.0,-7.0,-18.0,-7.0,-13.0,-10.0,-3.0,-4.0,-1.0,-1.0,-1.0
Free Cash Flow AUD Mil,-7.0,-8.0,-22.0,-10.0,-15.0,-12.0,-2.0,-6.0,-3.0,-3.0,-3.0
Free Cash Flow Per Share * AUD,-0.04,-0.05,-0.12,-0.06,-0.05,-0.09,-0.03,-0.02,-0.03,-0.01,
Working Capital AUD Mil,7.0,16.0,19.0,11.0,8.0,6.0,1.0,2.0,2.0,4.0,
