Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,22.54,21.07,13.61,-33.43,62.34,7.73,-12.44,24.59,-61.4,411.93,87.5
3-Year Average,60.61,27.63,19.01,-2.89,7.08,5.2,15.26,5.53,-25.05,35.03,
5-Year Average,15.68,16.86,41.63,9.47,12.74,9.88,2.98,4.9,-5.94,18.35,
10-Year Average,17.28,19.21,10.27,6.78,14.52,12.74,9.7,21.89,1.48,15.51,
