Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,,,,,,
SG&A,20.11,26.38,21.03,20.12,20.6,19.84,17.77,20.15,21.26,20.98,19.69
R&D,,,,,,,,,,,
Other,58.39,75.99,58.09,67.32,84.38,61.08,54.66,55.43,59.15,60.03,78.34
Operating Margin,21.5,-2.37,20.88,12.56,-4.98,19.09,27.57,24.42,19.59,18.98,1.97
Net Int Inc & Other,,,,,,,,,,,
EBT Margin,21.5,-2.37,20.88,12.56,-4.98,19.09,27.57,24.42,19.59,18.98,1.97
