Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,88.11,2.13,,,3.93,20.81,-23.17,38.2,3.24,21.46,
3-Year Average,45.01,52.45,,-17.24,-16.76,,-1.19,8.65,3.11,20.11,
5-Year Average,43.94,52.74,,14.48,2.07,-6.58,-11.75,,6.6,9.97,
10-Year Average,,,,,,15.96,16.1,8.7,10.47,5.95,
