Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-61.69,45.41,40.01,16.93,23.37,5.08,24.14,3.22,-39.43,40.37,
3-Year Average,-28.7,-14.21,-7.95,33.52,26.41,14.87,17.19,10.43,-8.1,-4.26,
5-Year Average,-11.9,-7.41,-5.9,0.66,2.38,25.28,21.38,14.2,0.12,2.74,
10-Year Average,-4.41,-0.9,-0.54,4.3,11.75,5.06,6.01,3.67,0.39,2.56,
