Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,11.09,-0.89,-15.53,12.14,-4.16,-8.73,-41.71,113.07,-11.05,12.27,25.18
3-Year Average,9.88,9.32,-2.39,-2.08,-3.17,-0.64,-20.11,4.27,3.38,28.62,
5-Year Average,6.51,7.72,2.12,4.35,-0.01,-3.86,-13.55,4.03,-0.68,2.51,
10-Year Average,12.73,-1.16,3.61,1.7,4.68,1.19,-3.49,3.07,1.81,1.24,
